Expiry,Pay Date,Days,Notional,Cap Strike,Cap Vols,Reset Rate,Hedge Ratio,Payment,Discount,Intrinsic PV,Time PV,PV
06/06/2025,12/10/2025,183,10000000,1.95055,70.42,1.962,0.51,10266.34,0.978682,569.52,9477.97,10047.49
12/08/2025,06/10/2026,182,10000000,1.95055,79.77,1.857,0.45,13791.1,0.970501,0,13384.28,13384.28
06/08/2026,12/10/2026,183,10000000,1.95055,82.72,1.87456,0.46,18623.9,0.962219,0,17920.28,17920.28
12/08/2026,06/10/2027,182,10000000,1.95055,87.39,1.93351,0.48,24464.37,0.953635,0,23330.07,23330.07
06/08/2027,12/10/2027,183,10000000,1.95055,87.39,1.93356,0.48,27554.34,0.945078,0,26041,26041
12/08/2027,06/12/2028,185,10000000,1.95055,85.58,1.98145,0.49,31162.04,0.936195,1486.37,27687.38,29173.75
06/08/2028,12/11/2028,182,10000000,1.95055,85.57,1.98155,0.48,33058.88,0.927533,1453.57,29209.63,30663.2
12/07/2028,06/11/2029,182,10000000,1.95055,84.31,2.02002,0.48,35768.31,0.91865,3226.05,29632.51,32858.56
06/07/2029,12/10/2029,182,10000000,1.95055,84.28,2.02033,0.48,37821.34,0.909851,3209.47,31202.32,34411.79
